Time_s,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V
6.003001500750375e-05,-1.3678865552406143,-0.9270133916734413,-1.211408114688794
6.028014007003502e-05,-1.4005118336335622,-0.9590695048283463,-1.241539361925788
6.0530265132566284e-05,-1.4328025084825275,-0.9908980646595666,-1.271364771393895
6.078039019509755e-05,-1.4647276813647738,-1.022472311768466,-1.300875306896043
6.103051525762882e-05,-1.4963030409107028,-1.0538038596918793,-1.3300655062508928
6.128064032016008e-05,-1.5274965667052218,-1.0848650473278774,-1.3589261556451426
6.153076538269135e-05,-1.5583254457083497,-1.1156686232079847,-1.3874523066340887
6.178089044522261e-05,-1.5887564995514754,-1.146186085010994,-1.4156345669731045
6.203101550775388e-05,-1.618808438587933,-1.176431258546639,-1.443468505549433
6.228114057028514e-05,-1.6484469527015522,-1.2063748415593916,-1.470944518617068
6.25312656328164e-05,-1.6776922682634134,-1.2360317283625883,-1.4980587487042203
6.278139069534768e-05,-1.7065089651815186,-1.265371865240842,-1.5248013774106757
6.303151575787894e-05,-1.7349187854837353,-1.294411158211753,-1.551169127887619
6.328164082041021e-05,-1.762885185348146,-1.3231188729117653,-1.5771519395248927
6.353176588294147e-05,-1.790431434596651,-1.3515118756512585,-1.6027471544347394
6.378189094547274e-05,-1.817519914090446,-1.3795588181673093,-1.6279444814012105
6.4032016008004e-05,-1.844175402062918,-1.407277490764425,-1.652741897286759
6.428214107053526e-05,-1.8703591798201518,-1.4346359478539594,-1.6771288424826216
6.453226613306654e-05,-1.8960975686865058,-1.4616528880362005,-1.7011039515752968
6.47823911955978e-05,-1.921350789316169,-1.4882958515195552,-1.72465642673782
6.503251625812907e-05,-1.946146657684537,-1.51458437267754,-1.747785558381819
6.528264132066033e-05,-1.9704443634784867,-1.5404855267008566,-1.7704802786311342
6.55327663831916e-05,-1.9942732255817623,-1.5660196449012558,-1.7927405848781814
6.578289144572286e-05,-2.0175914111550304,-1.5911534043611937,-1.8145551359285454
6.603301650825412e-05,-2.040429733149079,-1.6159079071464855,-1.8359246347863891
6.62831415707854e-05,-2.062745359516847,-1.640249443802994,-1.8568374656098598
6.653326663331666e-05,-2.0845705844179823,-1.6641998654540295,-1.877295045787381
6.678339169584793e-05,-2.1058615903753575,-1.687725137430236,-1.8972854870999332
6.703351675837919e-05,-2.126652157666111,-1.7108478097164657,-1.9168109488317764
6.728364182091045e-05,-2.146897518586423,-1.7335335961360705,-1.9358592485949606
6.753376688344172e-05,-2.1666329043906343,-1.7558056727278948,-1.954433304616239
6.778389194597298e-05,-2.185812608561727,-1.7776295602531555,-1.9725206428106636
6.803401700850426e-05,-2.204473310923221,-1.7990290317594446,-1.9901249514700767
6.828414207103552e-05,-2.2225684185958663,-1.819969457302956,-2.0072334503524862
6.853426713356679e-05,-2.2401360070211447,-1.8404751966836836,-2.0238506276617856
6.878439219609805e-05,-2.2571286311164744,-1.860511485321836,-2.0399633925466274
6.903451725862931e-05,-2.2735857571320786,-1.8801032125754942,-2.055577013087238
6.928464232116058e-05,-2.2894591079629083,-1.8992155795849945,-2.0706781199519453
6.953476738369184e-05,-2.304789482720602,-1.9178739472112571,-2.0852727780747875
6.978489244622312e-05,-2.3195279102921686,-1.9360435053073863,-2.099347301673527
7.003501750875438e-05,-2.3337162004181145,-1.9537500734446722,-2.1129085665365337
7.028514257128565e-05,-2.347305333744472,-1.9709588824812092,-2.1259426094554326
7.053526763381691e-05,-2.3603375161327618,-1.9876961679313423,-2.1384570988612492
7.078539269634817e-05,-2.3727639434968153,-2.0039272283124845,-2.150437772981474
7.103551775887944e-05,-2.384627142630336,-2.0196786805535543,-2.16189312963981
7.12856428214107e-05,-2.395878579228449,-2.0349159659599243,-2.172808596037516
7.153576788394198e-05,-2.406561067487998,-2.0496660178965893,-2.1831934912277546
7.178589294647324e-05,-2.4166264153519608,-2.0638944769715044,-2.1930329797426973
7.203601800900451e-05,-2.426117642573102,-2.0776285669963825,-2.202337164713817
7.228614307153577e-05,-2.4349869509822932,-2.0908341467971523,-2.2110909426744945
7.253626813406703e-05,-2.4432775446143955,-2.103538693042445,-2.2193052237576225
7.27863931965983e-05,-2.450942050267876,-2.1157083574397864,-2.2269646444312863
7.303651825912956e-05,-2.458023805755281,-2.127370813500642,-2.234080911539734
7.328664332166084e-05,-2.4644759463066808,-2.1384925267656136,-2.240638402038601
7.35367683841921e-05,-2.470341872023183,-2.149101370539116,-2.2466496286178352
7.378689344672336e-05,-2.4755752731080434,-2.1591641650066657,-2.2520987138053457
7.403701850925463e-05,-2.480219574860178,-2.168708910428062,-2.2569989617080837
7.428714357178589e-05,-2.4842290635808144,-2.177702835221533,-2.261334252148963
7.453726863431716e-05,-2.487647150104568,-2.1861740550403326,-2.265118676822454
7.478739369684842e-05,-2.490428771033004,-2.1940902318592825,-2.2683358940014986
7.50375187593797e-05,-2.4926172591313853,-2.2014795505509306,-2.27100076443781
7.528764382191096e-05,-2.4941682636750753,-2.208310160619897,-2.2730967239034103
7.553776888444222e-05,-2.4951250074087463,-2.2146102858363537,-2.274639407639273
7.578789394697349e-05,-2.4954438546199404,-2.220348576082366,-2.275612037853932
7.603801900950475e-05,-2.495167896091573,-2.2255532771765156,-2.2760310074893915
7.628814407203602e-05,-2.4942542812016506,-2.230193592400898,-2.275879349004001
7.653826913456728e-05,-2.49274589063096,-2.234297722802519,-2.275174192715325
7.678839419709856e-05,-2.490600711553616,-2.237835467046001,-2.273898398876002
7.703851925962982e-05,-2.4878613816585804,-2.2408349777736656,-2.2720698079525805
7.728864432216108e-05,-2.4844867580303838,-2.2432666661025613,-2.2696711396692244
7.753876938469235e-05,-2.4805192039021815,-2.245158588049996,-2.2667209176954204
7.778889444722361e-05,-2.475918462373208,-2.2464818182318975,-2.263201744947856
7.803901950975488e-05,-2.4707265885046654,-2.2472642783205545,-2.259132805408766
7.828914457228614e-05,-2.464904288229229,-2.2474777441111216,-2.2544966027783366
7.85392696348174e-05,-2.4584932389922045,-2.247149975025478,-2.249312975997477
7.878939469734868e-05,-2.451455110722432,-2.246253462956685,-2.243564324985158
7.903951975987994e-05,-2.4438312157843516,-2.244815788907053,-2.2372711202747557
7.928964482241121e-05,-2.435584222323395,-2.2428101764113966,-2.2304156984141503
7.953976988494247e-05,-2.426755003296685,-2.240264026010147,-2.2230191348370902
7.978989494747374e-05,-2.417307294989455,-2.2371512983589725,-2.2150637107819686
8.0040020010005e-05,-2.407281490218933,-2.2334991778072686,-2.2065710905831177
8.029014507253626e-05,-2.3966423834173693,-2.22928241114743,-2.1975235368945962
8.054027013506754e-05,-2.385429889943175,-2.22452791817227,-2.1879432513825714
8.07903951975988e-05,-2.3736099079376856,-2.2192112854640285,-2.1778124994415653
8.104052026013007e-05,-2.361221809407288,-2.21335913420569,-2.1671540155073847
8.129064532266133e-05,-2.348232609174086,-2.2069478723861518,-2.1559500691210234
8.15407703851926e-05,-2.3346811424645564,-2.200003840511604,-2.1442239007558173
8.179089544772386e-05,-2.320535570089475,-2.1925042851674132,-2.1319578435703677
8.204102051025512e-05,-2.3058341247292105,-2.1844752328198638,-2.1191755839040556
8.22911455727864e-05,-2.290546139330572,-2.1758947935395243,-2.105859527116124
8.254127063531766e-05,-2.274709247524307,-2.1667886533634295,-2.0920337910545115
8.279139569784893e-05,-2.2582939458122167,-2.157135803147366,-2.0776808932128166
8.304152076038019e-05,-2.2413372547402264,-2.1469615740754,-2.062825339899611
8.329164582291145e-05,-2.2238108603882742,-2.1362458423019395,-2.047449786878098
8.354177088544273e-05,-2.2057511073828553,-2.125013575692987,-2.031579093514862
8.379189594797399e-05,-2.18713093249891,-2.11324555507734,-2.0151960622576204
8.404202101050526e-05,-2.167985976061974,-2.1009663496789828,-1.9983259013897623
8.429214607303652e-05,-2.1482904030089673,-2.088157659649715,-1.9809515961295239
8.454227113556779e-05,-2.128079158402817,-2.0748436415982283,-1.963098625784803
8.479239619809905e-05,-2.1073276399879295,-2.0610069382972642,-1.9447502052923524
8.504252126063031e-05,-2.0860700848760705,-2.0466712698420517,-1.9259320562803102
8.529264632316159e-05,-2.064283109916499,-2.031820203688308,-1.9066276520662362
8.554277138569285e-05,-2.04200023854774,-2.0164770481043575,-1.8868629139965938
8.579289644822412e-05,-2.019199343377429,-2.0006263011278462,-1.8666216053523328
8.604302151075538e-05,-1.9959131681426365,-1.984290812855513,-1.8459298039559193
8.629314657328665e-05,-1.9721208633737093,-1.9674560413132152,-1.8247715772364381
8.654327163581791e-05,-1.9478544023206052,-1.950144370516075,-1.8031731402370317
8.679339669834917e-05,-1.9230941826762018,-1.9323421836914139,-1.7811189137982997
8.704352176088045e-05,-1.8978714152001934,-1.914071436710916,-1.7586351873026973
8.72936468234117e-05,-1.8721677362759004,-1.895319428735095,-1.7357067405458129
8.754377188594298e-05,-1.8460135748018995,-1.8761076441638147,-1.7123599172410584
8.779389694847424e-05,-1.8193918311338142,-1.8564243425843885,-1.6885799185674035
8.80440220110055e-05,-1.7923321184059189,-1.8362905192003534,-1.6643930625743029
8.829414707353677e-05,-1.7648186018717955,-1.815695353976297,-1.6397850023362326
8.854427213606803e-05,-1.736880079554534,-1.7946593731985654,-1.6147819931498406
8.87943971985993e-05,-1.708501958545385,-1.773172687265272,-1.589370183600664
8.904452226113057e-05,-1.6797122325564546,-1.7512553397626724,-1.5635757320166868
8.929464732366184e-05,-1.6504975369390296,-1.7288983646549765,-1.5373852849906742
8.95447723861931e-05,-1.6208850541186008,-1.7061213030973377,-1.5108248571871186
8.979489744872436e-05,-1.5908626442068878,-1.6829161117507772,-1.4838816485643918
9.004502251125563e-05,-1.5604566532210444,-1.6593018408089262,-1.4565814871074572
9.029514757378689e-05,-1.5296561807047144,-1.635271354097932,-1.428912133054843
9.054527263631817e-05,-1.4984867399384258,-1.6108432092533929,-1.4008991893413207
9.079539769884943e-05,-1.46693861572579,-1.586011157927407,-1.3725310400965085
9.10455227613807e-05,-1.435036518425417,-1.560793281039675,-1.3438329916362424
9.129564782391196e-05,-1.4027719118199566,-1.5351841922363343,-1.3147940673984682
9.154577288644322e-05,-1.3701686737311638,-1.5092014988769065,-1.2854392562027739
9.179589794897449e-05,-1.3372194459103477,-1.4828406694837915,-1.2557582578662283
9.204602301150575e-05,-1.3039472904206038,-1.4561188185757643,-1.2257756787085814
9.229614807403703e-05,-1.2703459919855773,-1.4290322884921098,-1.1954819201797453
9.254627313656829e-05,-1.2364377768135442,-1.4015976907947159,-1.1649011788841483
9.279639819909956e-05,-1.2022175999392906,-1.3738122043218117,-1.134024615420178
9.304652326163082e-05,-1.1677068480382602,-1.3456919754965904,-1.1028759188611572
9.329664832416208e-05,-1.13290157053953,-1.3172349815230937,-1.0714470327631223
9.354677338669335e-05,-1.0978223774420717,-1.2884568971418253,-1.0397611552146857
9.379689844922461e-05,-1.0624663885073522,-1.2593565006944598,-1.0078110136853202
9.404702351175589e-05,-1.0268534112448389,-1.229948996143691,-0.9756192375552893
9.429714857428715e-05,-0.9909816346452027,-1.2002339349356679,-0.9431794129525891
9.45472736368184e-05,-0.9548700575818294,-1.1702260721152022,-0.9105135376045815
9.479739869934968e-05,-0.91851792136891,-1.1399256998477243,-0.8776160779205837
9.504752376188094e-05,-0.8819434307291508,-1.1093471200673553,-0.8445083682545845
9.529764882441221e-05,-0.8451468372393104,-1.0784913631679207,-0.8111857792106248
9.554777388694347e-05,-0.8081455701377844,-1.0473722925146882,-0.777668933458554
9.579789894947475e-05,-0.770940862940724,-1.0159916216479836,-0.7439541409912284
9.6048024012006e-05,-0.7335493799208774,-0.984362802886988,-0.7100612635574015
9.629814907453727e-05,-0.6959733045071614,-0.9524882148328888,-0.6759875786437615
9.654827413706854e-05,-0.6582285515840826,-0.9203808987155517,-0.6417521452888285
9.67983991995998e-05,-0.620318221377551,-0.8880438762959209,-0.6073532365584812
9.704852426213107e-05,-0.582257492534329,-0.8554897860806188,-0.5728090603974685
9.729864932466233e-05,-0.5440503511130033,-0.8227222679697853,-0.538118915206739
9.75487743871936e-05,-0.5057112535440469,-0.7897535711625473,-0.5033001156415089
9.779889944972487e-05,-0.46724503638451004,-0.7565879213260204,-0.4683530109658819
9.804902451225613e-05,-0.4286654517189518,-0.723237191744075,-0.4332939757542915
9.82991495747874e-05,-0.38997815153240634,-0.6897061664870832,-0.39812444185555085
9.854927463731866e-05,-0.35119619889934184,-0.6560063580972949,-0.36285979880109176
9.879939969984993e-05,-0.3123260259149623,-0.6221430750637669,-0.32750258509664887
9.904952476238119e-05,-0.27338002460788186,-0.5881274857715223,-0.2920671655782993
9.929964982491245e-05,-0.2343653703448972,-0.5539653913903099,-0.2565572071235809
9.954977488744373e-05,-0.195293801711628,-0.5196676308554409,-0.22098600810938476
9.979989994997499e-05,-0.1561732001925211,-0.4852404654774081,-0.18535839160641052
0.00010005002501250626,-0.11701474684622654,-0.4506944775664381,-0.1496865868451605
0.00010030015007503752,-0.07782683558587855,-0.4160362450253127,-0.11397651726216296
0.00010055027513756879,-0.03862003344965074,-0.3812760525786318,-0.07823925671896044
0.00010080040020010005,0.0005964828147916532,-0.3464209838861526,-0.042482013267447584
0.00010105052526263131,0.039812817103594626,-0.3114809885573683,-0.006714635018097503
0.00010130065032516259,0.07901920537713514,-0.27646350810239223,0.0290544498424611
0.00010155077538769385,0.11820632405379829,-0.24137823228825475,0.06481661970899827
0.00010180090045022512,0.15736386095839144,-0.20623292708154473,0.10056220386460792
0.00010205102551275638,0.1964830446145744,-0.17103703700535167,0.1362838441177926
0.00010230115057528765,0.2355530564025735,-0.135798618716051,0.17197060906421613
0.00010255127563781891,0.27456565179478565,-0.10052689048559059,0.20761643882019387
0.00010280140070035017,0.31350955028538463,-0.06523016245819051,0.24320912281796403
0.00010305152576288145,0.3523770129146893,-0.029917447264104266,0.2787439353773782
0.0001033016508254127,0.39115633413695333,0.005402728645330019,0.3142073720375406
0.00010355177588794398,0.42984025916008706,0.04072153990621003,0.3495960723840383
0.00010380190095047524,0.4684167030872261,0.07603027907855163,0.38489522060527853
0.00010405202601300651,0.5068788681031711,0.11132028922728282,0.42010285482626764
0.00010430215107553777,0.5452143337349659,0.14658271836443043,0.4552028385891826
0.00010455227613806903,0.5834167373764849,0.18180905869079525,0.490194634025568
0.0001048024012006003,0.621473362648945,0.21699035057089952,0.5250607711950295
0.00010505252626313157,0.6593782583691498,0.2521182148472743,0.559802167937801
0.00010530265132566284,0.6971184559136864,0.2871836215452363,0.5944000092330568
0.0001055527763881941,0.7346883916073451,0.32217830269627057,0.6288566952424668
0.00010580290145072536,0.7720748872971637,0.35709319120331545,0.6631520554632225
