Vdiff_input_V,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V,Vout_OPA828_V,Vout_ADA4817_V
-0.0004,-5.57051581,-5.57051582,-5.57051582,-5.57051582,-5.57051582
-0.0003991991991991992,-5.570515681871872,-5.570515693473474,-5.570515693473474,-5.570515693473474,-5.570515693473474
-0.0003983983983983984,-5.570515553743744,-5.570515566946947,-5.570515566946947,-5.570515566946947,-5.570515566946947
-0.0003975975975975976,-5.570515425615616,-5.5705154404204205,-5.5705154404204205,-5.5705154404204205,-5.5705154404204205
-0.0003967967967967968,-5.570515297487487,-5.570515313893894,-5.570515313893894,-5.570515313893894,-5.570515313893894
-0.000395995995995996,-5.57051516935936,-5.570515187367367,-5.570515187367367,-5.570515187367367,-5.570515187367367
-0.0003951951951951952,-5.570515041231231,-5.570515060840841,-5.570515060840841,-5.570515060840841,-5.570515060840841
-0.0003943943943943944,-5.570514914314314,-5.570514934314314,-5.570514934314314,-5.570514934314314,-5.570514934314314
-0.00039359359359359363,-5.570514787787788,-5.570514807787788,-5.570514807787788,-5.570514807787788,-5.570514807787788
-0.00039279279279279283,-5.570514661261261,-5.570514681261261,-5.570514681261261,-5.570514681261261,-5.570514681261261
-0.00039199199199199203,-5.570514534734735,-5.570514554734735,-5.570514554734735,-5.570514554734735,-5.570514554734735
-0.00039119119119119123,-5.570514408208208,-5.570514428208208,-5.570514428208208,-5.570514428208208,-5.570514428208208
-0.00039039039039039043,-5.570514281681682,-5.570514301681682,-5.570514301681682,-5.570514301681682,-5.570514301681682
-0.00038958958958958963,-5.570514154334334,-5.570514174334334,-5.570514174334334,-5.570514174334334,-5.570514174334334
-0.0003887887887887888,-5.570514026206206,-5.570514046206206,-5.570514046206206,-5.570514046206206,-5.570514046206206
-0.000387987987987988,-5.570513898078078,-5.570513918078078,-5.570513918078078,-5.570513918078078,-5.570513918078078
-0.0003871871871871872,-5.57051376994995,-5.57051378994995,-5.57051378994995,-5.57051378994995,-5.57051378994995
-0.0003863863863863864,-5.5705136418218215,-5.570513661821821,-5.570513661821821,-5.570513661821821,-5.570513661821821
-0.0003855855855855856,-5.570513513693694,-5.570513533693694,-5.570513533693694,-5.570513533693694,-5.570513533693694
-0.0003847847847847848,-5.570513385995996,-5.570513405995996,-5.570513405995996,-5.570513405995996,-5.570513405995996
-0.000383983983983984,-5.57051325946947,-5.57051327946947,-5.57051327946947,-5.57051327946947,-5.57051327946947
-0.0003831831831831832,-5.570513132942943,-5.570513152942943,-5.570513152942943,-5.570513152942943,-5.570513152942943
-0.0003823823823823824,-5.570513006416416,-5.570513026416417,-5.570513026416417,-5.570513026416417,-5.570513026416417
-0.0003815815815815816,-5.57051287988989,-5.5705128998898905,-5.5705128998898905,-5.5705128998898905,-5.5705128998898905
-0.0003807807807807808,-5.570512753363363,-5.5705127733633635,-5.5705127733633635,-5.5705127733633635,-5.5705127733633635
-0.00037997997997998,-5.570512626796797,-5.570512646796797,-5.570512646796797,-5.570512646796797,-5.570512646796797
-0.0003791791791791792,-5.570512498668668,-5.570512518668669,-5.570512518668669,-5.570512518668669,-5.570512518668669
-0.0003783783783783784,-5.57051237054054,-5.570512390540541,-5.570512390540541,-5.570512390540541,-5.570512390540541
-0.0003775775775775776,-5.570512242412412,-5.570512262412413,-5.570512262412413,-5.570512262412413,-5.570512262412413
-0.0003767767767767768,-5.570512114284284,-5.570512134284284,-5.570512134284284,-5.570512134284284,-5.570512134284284
-0.000375975975975976,-5.5705119861561565,-5.570512006156156,-5.570512006156156,-5.570512006156156,-5.570512006156156
-0.0003751751751751752,-5.570511858028028,-5.570511878028028,-5.570511878028028,-5.570511878028028,-5.570511878028028
-0.0003743743743743744,-5.570511731151151,-5.570511751151151,-5.570511751151151,-5.570511751151151,-5.570511751151151
-0.0003735735735735736,-5.570511604624625,-5.570511624624625,-5.570511624624625,-5.570511624624625,-5.570511624624625
-0.0003727727727727728,-5.570511478098099,-5.5705114980980985,-5.5705114980980985,-5.5705114980980985,-5.5705114980980985
-0.000371971971971972,-5.570511351571572,-5.5705113715715715,-5.5705113715715715,-5.5705113715715715,-5.5705113715715715
-0.0003711711711711712,-5.5705112250450455,-5.570511245045045,-5.570511245045045,-5.570511245045045,-5.570511245045045
-0.0003703703703703704,-5.570511098518519,-5.570511118518519,-5.570511118518519,-5.570511118518519,-5.570511118518519
-0.0003695695695695696,-5.570510971991992,-5.5705109911311315,-5.5705109911311315,-5.5705109911311315,-5.5705109911311315
-0.0003687687687687688,-5.570510845465466,-5.570510863003003,-5.570510863003003,-5.570510863003003,-5.570510863003003
-0.000367967967967968,-5.570510718938939,-5.570510734874875,-5.570510734874875,-5.570510734874875,-5.570510734874875
-0.0003671671671671672,-5.570510592412412,-5.570510606746747,-5.570510606746747,-5.570510606746747,-5.570510606746747
-0.0003663663663663664,-5.570510465885886,-5.570510478618618,-5.570510478618618,-5.570510478618618,-5.570510478618618
-0.0003655655655655656,-5.570510339359359,-5.5705103504904905,-5.5705103504904905,-5.5705103504904905,-5.5705103504904905
-0.0003647647647647648,-5.570510212362362,-5.570510222832833,-5.570510222832833,-5.570510222832833,-5.570510222832833
-0.00036396396396396396,-5.570510084234234,-5.570510096306307,-5.570510096306307,-5.570510096306307,-5.570510096306307
-0.00036316316316316316,-5.570509956106106,-5.5705099697797795,-5.5705099697797795,-5.5705099697797795,-5.5705099697797795
-0.00036236236236236236,-5.570509827977978,-5.570509843253253,-5.570509843253253,-5.570509843253253,-5.570509843253253
-0.00036156156156156156,-5.5705096998498504,-5.570509716726727,-5.570509716726727,-5.570509716726727,-5.570509716726727
-0.00036076076076076077,-5.570509571721722,-5.5705095902002,-5.5705095902002,-5.5705095902002,-5.5705095902002
-0.00035995995995995997,-5.570509443673674,-5.570509463593594,-5.570509463593594,-5.570509463593594,-5.570509463593594
-0.00035915915915915917,-5.570509317147147,-5.570509335465466,-5.570509335465466,-5.570509335465466,-5.570509335465466
-0.00035835835835835837,-5.570509190620621,-5.570509207337337,-5.570509207337337,-5.570509207337337,-5.570509207337337
-0.00035755755755755757,-5.570509064094094,-5.570509079209209,-5.570509079209209,-5.570509079209209,-5.570509079209209
-0.00035675675675675677,-5.570508937567568,-5.570508951081081,-5.570508951081081,-5.570508951081081,-5.570508951081081
-0.00035595595595595597,-5.570508811041041,-5.570508822952953,-5.570508822952953,-5.570508822952953,-5.570508822952953
-0.0003551551551551552,-5.570508684514515,-5.570508694824825,-5.570508694824825,-5.570508694824825,-5.570508694824825
-0.0003543543543543544,-5.570508556696696,-5.5705085679879875,-5.5705085679879875,-5.5705085679879875,-5.5705085679879875
-0.0003535535535535536,-5.570508428568568,-5.570508441461461,-5.570508441461461,-5.570508441461461,-5.570508441461461
-0.0003527527527527528,-5.570508300440441,-5.570508314934935,-5.570508314934935,-5.570508314934935,-5.570508314934935
-0.000351951951951952,-5.570508172312312,-5.570508188408408,-5.570508188408408,-5.570508188408408,-5.570508188408408
-0.0003511511511511512,-5.5705080441841845,-5.570508061881882,-5.570508061881882,-5.570508061881882,-5.570508061881882
-0.0003503503503503504,-5.570507916056056,-5.570507935355355,-5.570507935355355,-5.570507935355355,-5.570507935355355
-0.0003495495495495496,-5.570507788828829,-5.570507808828829,-5.570507808828829,-5.570507808828829,-5.570507808828829
-0.0003487487487487488,-5.570507662302302,-5.570507682302303,-5.570507682302303,-5.570507682302303,-5.570507682302303
-0.000347947947947948,-5.570507535775776,-5.570507555775776,-5.570507555775776,-5.570507555775776,-5.570507555775776
-0.0003471471471471472,-5.570507409249249,-5.57050742924925,-5.57050742924925,-5.57050742924925,-5.57050742924925
-0.0003463463463463464,-5.570507282722723,-5.570507302722723,-5.570507302722723,-5.570507302722723,-5.570507302722723
-0.0003455455455455456,-5.570507156196196,-5.570507176196196,-5.570507176196196,-5.570507176196196,-5.570507176196196
-0.0003447447447447448,-5.5705070296696695,-5.5705070491591595,-5.5705070491591595,-5.5705070491591595,-5.5705070491591595
-0.00034394394394394393,-5.5705069031431425,-5.570506921031031,-5.570506921031031,-5.570506921031031,-5.570506921031031
-0.00034314314314314314,-5.570506776616616,-5.570506792902903,-5.570506792902903,-5.570506792902903,-5.570506792902903
-0.00034234234234234234,-5.57050665009009,-5.570506664774775,-5.570506664774775,-5.570506664774775,-5.570506664774775
-0.00034154154154154154,-5.570506523563563,-5.570506536646647,-5.570506536646647,-5.570506536646647,-5.570506536646647
-0.00034074074074074074,-5.570506397037037,-5.5705064085185185,-5.5705064085185185,-5.5705064085185185,-5.5705064085185185
-0.00033993993993993994,-5.57050627039039,-5.570506280510511,-5.570506280510511,-5.570506280510511,-5.570506280510511
-0.00033913913913913914,-5.570506142262262,-5.570506153983984,-5.570506153983984,-5.570506153983984,-5.570506153983984
-0.00033833833833833834,-5.570506014134134,-5.570506027457458,-5.570506027457458,-5.570506027457458,-5.570506027457458
-0.00033753753753753754,-5.570505886006006,-5.5705059009309315,-5.5705059009309315,-5.5705059009309315,-5.5705059009309315
-0.00033673673673673674,-5.570505757877878,-5.570505774404404,-5.570505774404404,-5.570505774404404,-5.570505774404404
-0.00033593593593593595,-5.570505629749749,-5.570505647877878,-5.570505647877878,-5.570505647877878,-5.570505647877878
-0.00033513513513513515,-5.570505501621621,-5.570505521351351,-5.570505521351351,-5.570505521351351,-5.570505521351351
-0.00033433433433433435,-5.570505374824824,-5.570505393493494,-5.570505393493494,-5.570505393493494,-5.570505393493494
-0.00033353353353353355,-5.570505248298298,-5.570505265365366,-5.570505265365366,-5.570505265365366,-5.570505265365366
-0.00033273273273273275,-5.570505121771771,-5.570505137237237,-5.570505137237237,-5.570505137237237,-5.570505137237237
-0.00033193193193193195,-5.570504995245245,-5.570505009109109,-5.570505009109109,-5.570505009109109,-5.570505009109109
-0.00033113113113113115,-5.570504868718719,-5.570504880980981,-5.570504880980981,-5.570504880980981,-5.570504880980981
-0.00033033033033033035,-5.570504742192192,-5.570504752852853,-5.570504752852853,-5.570504752852853,-5.570504752852853
-0.00032952952952952955,-5.570504614724725,-5.570504625665666,-5.570504625665666,-5.570504625665666,-5.570504625665666
-0.00032872872872872876,-5.5705044865965965,-5.5705044991391395,-5.5705044991391395,-5.5705044991391395,-5.5705044991391395
-0.00032792792792792796,-5.570504358468469,-5.570504372612612,-5.570504372612612,-5.570504372612612,-5.570504372612612
-0.00032712712712712716,-5.57050423034034,-5.570504246086086,-5.570504246086086,-5.570504246086086,-5.570504246086086
-0.00032632632632632636,-5.570504102212213,-5.570504119559559,-5.570504119559559,-5.570504119559559,-5.570504119559559
-0.00032552552552552556,-5.570503974084084,-5.570503993033033,-5.570503993033033,-5.570503993033033,-5.570503993033033
-0.00032472472472472476,-5.570503846506507,-5.570503865955956,-5.570503865955956,-5.570503865955956,-5.570503865955956
-0.00032392392392392396,-5.57050371997998,-5.570503737827828,-5.570503737827828,-5.570503737827828,-5.570503737827828
-0.00032312312312312316,-5.570503593453454,-5.5705036096997,-5.5705036096997,-5.5705036096997,-5.5705036096997
-0.00032232232232232236,-5.570503466926927,-5.5705034815715715,-5.5705034815715715,-5.5705034815715715,-5.5705034815715715
-0.00032152152152152157,-5.570503340400401,-5.570503353443443,-5.570503353443443,-5.570503353443443,-5.570503353443443
-0.00032072072072072077,-5.570503213873874,-5.570503225315315,-5.570503225315315,-5.570503225315315,-5.570503225315315
-0.00031991991991991997,-5.570503087187187,-5.5705030973473475,-5.5705030973473475,-5.5705030973473475,-5.5705030973473475
-0.00031911911911911917,-5.570502959059059,-5.5705029708208205,-5.5705029708208205,-5.5705029708208205,-5.5705029708208205
-0.00031831831831831837,-5.570502830930931,-5.570502844294294,-5.570502844294294,-5.570502844294294,-5.570502844294294
-0.00031751751751751757,-5.570502702802803,-5.570502717767767,-5.570502717767767,-5.570502717767767,-5.570502717767767
-0.0003167167167167167,-5.570502574674674,-5.570502591241241,-5.570502591241241,-5.570502591241241,-5.570502591241241
-0.0003159159159159159,-5.570502446546547,-5.570502464714715,-5.570502464714715,-5.570502464714715,-5.570502464714715
-0.0003151151151151151,-5.570502318418419,-5.570502338188188,-5.570502338188188,-5.570502338188188,-5.570502338188188
-0.0003143143143143143,-5.570502191661662,-5.57050221029029,-5.57050221029029,-5.57050221029029,-5.57050221029029
-0.0003135135135135135,-5.570502065135135,-5.570502082162162,-5.570502082162162,-5.570502082162162,-5.570502082162162
