Time_s,Vout_Ideal_V,Vout_TL071_V,Vout_LF357_V,Vout_OPA828_V,Vout_ADA4817_V
0.0,3.85975973e-16,4.71282318e-13,4.71282318e-13,4.71282318e-13,4.71282318e-13
6.003001500750375e-09,1.7681045406850924e-09,5.4967882223066523e-11,3.620273368594897e-10,8.105839577471736e-10,6.694268652973986e-09
1.200600300150075e-08,6.117689058908173e-08,1.920886053603131e-09,1.269166062286247e-08,2.8305461565546166e-08,2.206341600938048e-07
1.8009004502251125e-08,3.944479536207902e-07,1.2512941038654523e-08,8.253326505887339e-08,1.8356566964976083e-07,1.236796006994468e-06
2.40120060030015e-08,1.502013193032076e-06,4.8095010944670334e-08,3.1669279796998496e-07,7.026319455492947e-07,4.7611789869641345e-06
3.0015007503751875e-08,4.308486523537167e-06,1.3924580568816804e-07,9.153418328613503e-07,2.025846022550714e-06,1.3166432871618762e-05
3.601800900450225e-08,1.0290833704278737e-05,3.357421786666733e-07,2.203194566412206e-06,4.863955250125062e-06,3.154110203022724e-05
4.2021010505252625e-08,2.1569528920610306e-05,7.105405883285844e-07,4.654358396501251e-06,1.0249024108140871e-05,6.577553482328279e-05
4.8024012006003e-08,4.095767140787393e-05,1.3626323389053127e-06,8.909440140588895e-06,1.956722604114857e-05,0.0001234669299213934
5.4027013506753374e-08,7.196739525633616e-05,2.4186650062111053e-06,1.5784289011913956e-05,3.457245852628313e-05,0.00021359249030308684
6.003001500750375e-08,0.0001187787566927824,4.033403672837219e-06,2.6270962674137072e-05,5.738243166049825e-05,0.00034622047848551564
6.603301650825412e-08,0.0001861793016625313,6.389209967005904e-06,4.15321878223792e-05,9.046037908012808e-05,0.0005321758722996859
7.20360180090045e-08,0.000279483352027874,9.694759827561381e-06,6.28908565207604e-05,0.00013658608313014508,0.0007827039548726604
7.803901950975487e-08,0.00040443951058621316,1.4183222324878438e-05,9.181608974855028e-05,0.0001988198249801301,0.0011091566209453394
8.404202101050525e-08,0.0005671335467386093,2.011009944450225e-05,0.00012990723080762382,0.0002804624039093547,0.0015227184694231169
9.004502251125562e-08,0.0007738922567716259,2.7750890935233612e-05,0.00017887687847587794,0.0003850137934262131,0.002034181778235733
9.6048024012006e-08,0.0010311923163430514,3.739871268831015e-05,0.00024053382639523758,0.0005161323538049224,0.0026537727312588096
1.0205102551275637e-07,0.001345576764466233,4.936196185483541e-05,0.00031676651634721353,0.0006775959545034917,0.0033910267716212145
1.0805402701350675e-07,0.0017235806369592793,6.396209202030214e-05,0.0004095274289625612,0.0008732658971625011,0.004254707903900397
1.1405702851425712e-07,0.002171666323827513,8.153153860306551e-05,0.0005208186528574887,0.0011070541304737166,0.005252765242666599
1.200600300150075e-07,0.0026961688020630315,0.00010241181551043523,0.0006526787681302852,0.0013828939702555279,0.006392320020175306
1.2606303151575787e-07,0.003303250138101051,0.00012695178961184594,0.0008071710685809107,0.0017047143446845426,0.007679675893911536
1.3206603301650825e-07,0.003998862719753478,0.0001555061365513157,0.0009863731089635019,0.0020764174050043023,0.009120346782509954
1.3806903451725862e-07,0.004788720306584093,0.00018843396310505255,0.0011923675007727865,0.00250185931565943,0.010719096607596693
1.44072036018009e-07,0.005678276031830316,0.00022609758926829418,0.001427233866001801,0.0029848339532706357,0.012479987037195052
1.5007503751875937e-07,0.0066727064193138575,0.0002688614780722361,0.0016930418454511257,0.003529059243081341,0.014406429053397205
1.5607803901950975e-07,0.007776900634445423,0.000317091292704032,0.0019918450881252626,0.004138165777215608,0.01650123693642634
1.6208104052026012e-07,0.008995454098165682,0.00037115307645698846,0.0023256760331423713,0.004815687543433716,0.018766681013458828
1.680840420210105e-07,0.010332665765448123,0.00043141253256172085,0.0026965415184490244,0.005565054424507854,0.02120453960424595
1.7408704352176087e-07,0.011792538500298148,0.000498234400431996,0.003106418965658429,0.006389586293789694,0.023816147806114664
1.8009004502251125e-07,0.01337878198062231,0.0005719819088895047,0.0035572532421014507,0.007292488442937868,0.02660244316768124
1.8609304652326162e-07,0.015094817281478738,0.0006530163030087843,0.004050953922085042,0.008276848194526662,0.029564008351627875
1.92096048024012e-07,0.016943783574437217,0.0007416964336751175,0.004589393083923961,0.009345632494134467,0.03270110950904474
1.9809904952476237e-07,0.018928545743101547,0.0008383784008974686,0.005174403422164881,0.010501686400433415,0.0360137315224783
2.0410205102551275e-07,0.021051702765676833,0.000943415239696388,0.00580777672992276,0.011747732202627311,0.039501610238192625
2.1010505252626312e-07,0.023315597295241616,0.001057156654696588,0.006491262672381189,0.01308636933498349,0.04316426030947748
2.161080540270135e-07,0.02572232528930665,0.0011799487965434715,0.007226567778872836,0.014520074667429713,0.04700100168390153
2.2211105552776387e-07,0.028273746050533264,0.001312134028430615,0.008015354682515656,0.01605120328212506,0.05101098162929323
2.2811405702851425e-07,0.030971492304444216,0.0014540508052190092,0.008859241539338467,0.017681989531417707,0.05519319560262184
2.3411705852926462e-07,0.03381698088999499,0.0016060334687857927,0.009759801597856726,0.019414548658253122,0.059546505138987176
2.40120060030015e-07,0.03681142250282141,0.0017684121456634319,0.010718562904298349,0.021250878452674336,0.06406965391741969
2.4612306153076537e-07,0.03995583212926663,0.0019415126524840417,0.01173700829372686,0.023192860929874937,0.06876128192240984
2.5212606303151575e-07,0.043251038687777896,0.0021256563708840423,0.012816575018225114,0.025242264775461733,0.07361993789757058
2.581290645322661e-07,0.04669769469682441,0.0023211601616696343,0.013958655127627813,0.02740074738484842,0.07864409078697326
2.641320660330165e-07,0.050296285802605305,0.002528336331742271,0.01516459530311956,0.029669857038763382,0.08383213908428354
2.7013506753376687e-07,0.054047139757054524,0.002747492547222611,0.016435697403299646,0.032051035580258125,0.08918241995788735
2.7613806903451725e-07,0.05795043494264732,0.002978931797476538,0.01777321817761481,0.03454562062730165,0.09469321649040899
2.821410705352676e-07,0.06200620916516657,0.0032229523330443216,0.019178370125982988,0.037154848172592285,0.10036276459921621
2.88144072036018e-07,0.06621436723674236,0.0034798476598417206,0.020652321339869936,0.039879855241758876,0.10618925826697076
2.9414707353676837e-07,0.07057468906147672,0.0037499064922039012,0.02219619621511155,0.042721682127607796,0.11217085723633846
3.0015007503751875e-07,0.07508683678993297,0.004033412727411105,0.0238110756863992,0.04568127509138569,0.11830568797561417
3.061530765382691e-07,0.07975036161044521,0.0043306454505738865,0.025497997723439712,0.04875948882272535,0.12459184885380485
3.121560780390195e-07,0.08456471093913356,0.004641878899897349,0.027257957585098545,0.0519570890438039,0.1310274181373453
3.1815907953976987e-07,0.08952923417048522,0.004967382446416607,0.029091908516860426,0.05527475484283941,0.13761044907923925
3.2416208104052025e-07,0.09464318901088142,0.005307420621322461,0.031000762130171083,0.05871308117839919,0.14433897883910773
3.301650825412706e-07,0.09990574677507952,0.005662253081310053,0.03298538897669434,0.062272581186897435,0.15121102954023885
3.36168084042021e-07,0.10531599906825412,0.006032134615750074,0.035046618726453226,0.06595368868730364,0.15822460927208828
3.4217108554277137e-07,0.11087295941554776,0.006417315161793495,0.037185241066047016,0.0697567604882401,0.16537771408946464
3.4817408704352175e-07,0.11657557344752376,0.006818039769455727,0.039402006002835416,0.07368207851858327,0.17266833201189824
3.541770885442721e-07,0.12242271884336166,0.0072345486489284625,0.04169762431464731,0.07772985223252224,0.1800944410475441
3.601800900450225e-07,0.12841321089430716,0.007667077145777687,0.044072768301284634,0.0819002206658029,0.1876540111809151
3.6618309154577287e-07,0.13454580702309152,0.00811585575584512,0.046528071986111044,0.08619325449058328,0.19534501037262167
3.7218609304652325e-07,0.14081921054245122,0.008581110135307652,0.049064131867067526,0.09060895842109254,0.20316539758498084
3.781890945472736e-07,0.14723207466513252,0.009063061108192494,0.051681507393112544,0.09514727296836817,0.2111131287604089
3.84192096048024e-07,0.1537830042578489,0.00956192466136188,0.05438072126497248,0.09980807601920959,0.21918618061461506
3.9019509754877437e-07,0.16047056060636314,0.010077911949538366,0.05716226033790493,0.10459118669772884,0.22738251871049203
3.9619809904952475e-07,0.16729326291239618,0.010611229433342669,0.06002657582083041,0.10949636380212104,0.23570005151383097
4.022011005502751e-07,0.17424959281472732,0.01116207868298549,0.06297408377889543,0.11452331101180588,0.24413672694622265
4.082041020510255e-07,0.181337995126083,0.011730656389234616,0.0660051658352236,0.11967167588408202,0.2526904909296282
4.1420710355177587e-07,0.18855688286677338,0.012317154725160581,0.06912016941995598,0.12494105489832917,0.26135928938332226
4.2021010505252625e-07,0.1959046359770085,0.012921760926517256,0.07231940855001699,0.1303309924158079,0.27014106723413817
4.262131065532766e-07,0.2033796071286243,0.013544657496612305,0.07560316415164982,0.13584098195827915,0.27903377140185076
4.32216108054027e-07,0.21098012091935966,0.01418602225394697,0.07897168438747174,0.14147047072754376,0.28803534782098217
4.3821910955477737e-07,0.218704477428034,0.014846028307617809,0.0824251855113857,0.1472188585658029,0.29714374540862093
4.4422211105552775e-07,0.2265509536874437,0.015524844057316658,0.08596385203836117,0.15308550024728362,0.3063569111037916
4.502251125562781e-07,0.23451780595691846,0.01622263326908254,0.08958783740170284,0.1590697064581691,0.3156727948515212
4.562281140570285e-07,0.24260326969774884,0.01693955487234417,0.09329726424888643,0.16517074758669334,0.32508934957808805
4.6223111555777887e-07,0.25080556236328166,0.017675763341836917,0.09709222499692045,0.1713878519089745,0.33460452723452233
4.6823411705852925e-07,0.2591228836138269,0.018431408312378186,0.10097278253409703,0.17772020765116556,0.34421628278504596
4.742371185592796e-07,0.26755341811175587,0.019206635016396197,0.10493896993436719,0.18416696699945972,0.3539225751711294
4.8024012006003e-07,0.2760953364914257,0.020001583945900955,0.10899079228790397,0.19072724326991497,0.3637213633506217
4.862431215607804e-07,0.2847467961196999,0.020816390911253636,0.11312822489658833,0.1974001157827114,0.3736106083114414
4.922461230615307e-07,0.29350594057640816,0.021651187341916955,0.11735121592586292,0.20418462874991494,0.3835882760147536
4.982491245622811e-07,0.30237090398249106,0.022506100054141057,0.12165968672762374,0.21107979335763868,0.39365233344310485
5.042521260630315e-07,0.3113398086327764,0.023381251154771385,0.12605353007569783,0.218084587965943,0.40380075058504383
5.102551275637819e-07,0.3204107698962482,0.024276758422509263,0.13053261349848927,0.22519796168146078,0.414031500445813
5.162581290645322e-07,0.32958189279073535,0.025192735046141067,0.13509677666127062,0.2324188317396898,0.4243425600162773
5.222611305652826e-07,0.33885127489118544,0.026129289734105037,0.13974583398889437,0.239746088418269,0.4347319083029952
5.28264132066033e-07,0.34821700776054026,0.027086526633230617,0.1444795750941671,0.24717859236068032,0.44519752734290957
5.342671335667834e-07,0.3576771754206904,0.028064545586951484,0.14929776453986998,0.2547151785000301,0.45573740414489455
