Frequency_Hz,Gain_Diff_dB,Gain_CM_dB,CMRR_dB
1054.67174,86.0163615,-106.136852,192.1532135
1079.26385,86.0163615,-104.863867,190.8802285
1104.42939,86.0163615,-105.379153,191.3955145
1130.18171,86.0163615,-99.9882276,186.0045891
1156.53451,86.0163615,-108.34163,194.3579915
1183.50179,86.0163615,-100.569595,186.5859565
1211.09787,86.0163615,-110.834999,196.8513605
1239.33742,86.0163615,-108.065094,194.0814555
1268.23544,86.0163615,-108.765242,194.78160350000002
1297.80729,86.0163616,-105.027844,191.0442056
1328.06867,86.0163616,-104.08051,190.0968716
1359.03566,86.0163616,-101.908109,187.9244706
1390.72472,86.0163616,-137.146385,223.1627466
1423.15269,86.0163616,-123.943228,209.95958960000002
1456.33679,86.0163616,-104.453539,190.46990060000002
1490.29465,86.0163616,-108.308146,194.3245076
1525.04432,86.0163616,-100.904379,186.9207406
1560.60425,86.0163616,-101.739668,187.75602959999998
1596.99335,86.0163616,-113.678381,199.69474259999998
1634.23095,86.0163616,-107.235909,193.2522706
1672.33682,86.0163616,-110.84848,196.86484159999998
1711.33123,86.0163616,-130.382417,216.3987786
1751.23488,86.0163616,-114.709563,200.72592459999998
1792.06897,86.0163616,-105.27492,191.2912816
1833.8552,86.0163616,-107.861699,193.8780606
1876.61578,86.0163617,-123.965,209.9813617
1920.37342,86.0163617,-105.595422,191.6117837
1965.15137,86.0163617,-108.288873,194.3052347
2010.97342,86.0163617,-109.804553,195.8209147
2057.86392,86.0163617,-105.227036,191.2433977
2105.84778,86.0163617,-99.4851541,185.5015158
2154.95049,86.0163617,-100.036356,186.05271770000002
2205.19815,86.0163617,-116.881325,202.8976867
2256.61745,86.0163617,-101.782014,187.7983757
2309.23571,86.0163618,-114.09757,200.1139318
2363.08088,86.0163618,-101.938955,187.9553168
2418.18158,86.0163618,-110.006293,196.0226548
2474.56708,86.0163618,-110.348036,196.3643978
2532.26734,86.0163618,-114.829986,200.8463478
2591.31301,86.0163618,-114.055046,200.0714078
2651.73547,86.0163619,-107.361657,193.3780189
2713.56682,86.0163619,-108.63268,194.6490419
2776.8399,86.0163619,-119.674765,205.6911269
2841.58835,86.0163619,-106.485295,192.5016569
2907.84656,86.0163619,-100.313962,186.3303239
2975.64973,86.016362,-100.533012,186.549374
3045.03389,86.016362,-111.480667,197.497029
3116.0359,86.016362,-120.964337,206.98069900000002
3188.69349,86.016362,-112.614394,198.63075600000002
3263.04526,86.0163621,-108.125587,194.14194909999998
3339.13071,86.0163621,-104.547471,190.5638331
3416.99027,86.0163621,-116.019039,202.0354011
3496.6653,86.0163621,-104.055931,190.0722931
3578.19814,86.0163622,-112.376858,198.3932202
3661.63211,86.0163622,-121.257953,207.2743152
3747.01154,86.0163622,-101.024398,187.04076020000002
3834.38178,86.0163623,-100.429023,186.4453853
3923.78927,86.0163623,-107.508152,193.5245143
4015.28149,86.0163624,-105.558878,191.5752404
4108.90707,86.0163624,-99.3883777,185.40474010000003
4204.71575,86.0163624,-101.117334,187.13369640000002
4302.75843,86.0163625,-120.186123,206.2024855
4403.0872,86.0163625,-101.36907,187.38543249999998
4505.75536,86.0163626,-114.426841,200.4432036
4610.81748,86.0163627,-97.6732958,183.6896585
4718.32935,86.0163627,-120.017816,206.03417869999998
4828.34812,86.0163628,-105.149108,191.16547079999998
4940.93223,86.0163628,-109.28156,195.29792279999998
5056.1415,86.0163629,-123.370833,209.3871959
5174.03714,86.016363,-138.437708,224.454071
5294.68179,86.016363,-110.895776,196.912139
5418.13954,86.0163631,-113.553471,199.5698341
5544.476,86.0163632,-108.148167,194.1645302
5673.75829,86.0163633,-101.92142,187.93778329999998
5806.05509,86.0163634,-100.240148,186.25651140000002
5941.4367,86.0163634,-127.067963,213.0843264
6079.97505,86.0163635,-106.471015,192.48737849999998
6221.74374,86.0163636,-115.070615,201.0869786
6366.81809,86.0163637,-107.064749,193.0811127
6515.27519,86.0163638,-144.836459,230.85282279999998
6667.1939,86.016364,-111.14963,197.165994
6822.65496,86.0163641,-116.312256,202.32862010000002
6981.74094,86.0163642,-115.389685,201.40604919999998
7144.53639,86.0163643,-111.467371,197.4837353
7311.12779,86.0163645,-106.194841,192.2112055
7481.60365,86.0163646,-102.115196,188.1315606
7656.05455,86.0163647,-116.630089,202.6464537
7834.57318,86.0163649,-111.267347,197.28371190000001
8017.25438,86.0163651,-112.466841,198.48320610000002
8204.19522,86.0163652,-109.670897,195.6872622
8395.49501,86.0163654,-111.660702,197.6770674
8591.25541,86.0163656,-105.840985,191.85735060000002
8791.58041,86.0163658,-124.986919,211.00328480000002
8996.57645,86.016366,-110.210708,196.22707400000002
9206.35245,86.0163662,-114.250724,200.26709019999998
9421.01986,86.0163664,-107.269326,193.28569240000002
9640.69273,86.0163667,-106.322109,192.3384757
9865.48779,86.0163669,-120.39838,206.4147469
10095.5245,86.0163672,-101.915043,187.93141020000002
10330.925,86.0163674,-99.6218049,185.6381723
10571.8144,86.0163677,-116.274275,202.2906427
10818.3207,86.016368,-105.445629,191.461997
11070.5749,86.0163683,-105.811595,191.8279633
11328.711,86.0163686,-104.35021,190.36657860000003
11592.8661,86.016369,-129.609949,215.626318
11863.1806,86.0163693,-122.502851,208.5192203
12139.7981,86.0163697,-116.850499,202.8668687
12422.8656,86.0163701,-106.995943,193.0123131
12712.5334,86.0163705,-116.979314,202.99568449999998
13008.9556,86.0163709,-111.874044,197.8904149
13312.2895,86.0163713,-107.955008,193.97137930000002
13622.6963,86.0163718,-119.27083,205.2872018
13940.341,86.0163723,-114.51274,200.5291123
14265.3923,86.0163728,-99.6448977,185.6612705
14598.0229,86.0163733,-109.833755,195.8501283
14938.4096,86.0163738,-131.130572,217.1469458
15286.7332,86.0163744,-102.048867,188.0652414
15643.1787,86.016375,-113.558478,199.574853
16007.9357,86.0163757,-109.829706,195.8460817
16381.1977,86.0163763,-117.799296,203.81567230000002
16763.1633,86.016377,-99.8835969,185.89997390000002
17154.0352,86.0163777,-105.274328,191.2907057
17554.0212,86.0163785,-107.605213,193.62159150000002
17963.3338,86.0163793,-143.876532,229.89291129999998
18382.1905,86.0163801,-103.063782,189.0801621
18810.8138,86.0163809,-105.431596,191.44797690000001
19249.4315,86.0163818,-112.880365,198.89674680000002
19698.2765,86.0163828,-101.835868,187.8522508
20157.5874,86.0163838,-101.180332,187.1967158
20627.6082,86.0163848,-110.850969,196.8673538
21108.5886,86.0163858,-120.429882,206.4462678
21600.7842,86.016387,-135.887432,221.903819
22104.4565,86.0163881,-128.94834,214.9647281
22619.8731,86.0163893,-106.833304,192.8496933
23147.3077,86.0163906,-105.971354,191.98774459999998
23687.0408,86.0163919,-105.311678,191.3280699
24239.3589,86.0163933,-102.69945,188.71584330000002
24804.5557,86.0163948,-103.591551,189.60794579999998
25382.9313,86.0163963,-119.994388,206.0107843
25974.7931,86.0163978,-106.895051,192.9114488
26580.4555,86.0163995,-113.390825,199.4072245
27200.2403,86.0164012,-105.586907,191.60330820000001
27834.4769,86.016403,-103.738306,189.754709
28483.5021,86.0164048,-120.317007,206.33341180000002
29147.6609,86.0164068,-104.079956,190.0963628
29827.306,86.0164088,-99.2439271,185.26033589999997
30522.7987,86.0164109,-118.176835,204.1932459
31234.5083,86.0164131,-101.035575,187.0519881
31962.8132,86.0164154,-99.5228843,185.53929970000002
32708.1001,86.0164177,-117.164381,203.18079870000003
33470.7652,86.0164202,-105.36071,191.3771302
34251.2135,86.0164228,-109.358656,195.37507879999998
35049.8598,86.0164255,-117.272916,203.28934149999998
35867.1284,86.0164282,-123.431477,209.44790519999998
36703.4535,86.0164311,-118.170657,204.1870881
37559.2794,86.0164341,-107.287503,193.30393709999998
38435.061,86.0164373,-101.950031,187.9664683
39331.2633,86.0164405,-108.760442,194.7768825
40248.3628,86.0164439,-122.464215,208.48065889999998
41186.8465,86.0164474,-102.091595,188.1080424
42147.2131,86.016451,-105.879796,191.89624700000002
43129.9729,86.0164548,-110.259404,196.2758588
44135.648,86.0164587,-101.908918,187.92537670000002
45164.7728,86.0164627,-122.034781,208.0512437
46217.894,86.0164669,-96.5577326,182.5741995
47295.5711,86.0164713,-115.71577,201.7322413
48398.3768,86.0164757,-120.801076,206.8175517
49526.8969,86.0164804,-105.686348,191.7028284
50681.7311,86.0164852,-105.683336,191.6998212
51863.493,86.0164902,-118.054389,204.0708792
53072.8103,86.0164953,-110.700841,196.7173363
54310.3257,86.0165006,-110.367561,196.3840616
55576.6966,86.0165061,-114.41038,200.4268861
56872.5959,86.0165117,-118.847472,204.8639837
58198.7121,86.0165175,-116.277354,202.29387150000002
59555.7497,86.0165235,-125.415082,211.4316055
60944.4299,86.0165297,-109.392612,195.40914170000002
62365.4903,86.016536,-109.269864,195.28640000000001
63819.686,86.0165426,-113.010898,199.02744059999998
65307.7896,86.0165493,-105.788703,191.8052523
66830.5919,86.0165562,-123.46274,209.4792962
68388.9018,86.0165632,-101.983833,188.0003962
69983.5473,86.0165705,-102.585113,188.6016835
71615.3756,86.0165779,-113.567108,199.5836859
73285.2538,86.0165856,-114.499049,200.5156346
74994.0691,86.0165934,-107.592655,193.6092484
76742.7293,86.0166014,-114.86,200.8766014
78532.1636,86.0166096,-100.608892,186.6255016
80363.3228,86.0166179,-107.403095,193.41971289999998
82237.1796,86.0166265,-102.523103,188.53972950000002
84154.7297,86.0166352,-103.795361,189.8119962
86116.992,86.0166441,-110.392846,196.4094901
88125.0089,86.0166532,-103.49581,189.5124632
90179.8474,86.0166624,-105.951869,191.96853140000002
92282.5992,86.0166718,-106.515039,192.53171079999998
94434.3816,86.0166814,-111.657104,197.67378539999999
96636.3377,86.0166912,-98.209971,184.2266622
98889.6375,86.0167011,-106.996931,193.0136321
101195.478,86.0167112,-104.921477,190.9381882
103555.085,86.0167214,-116.238016,202.2547374
105969.711,86.0167318,-102.873443,188.8901748
108440.64,86.0167424,-108.936352,194.9530944
110969.185,86.0167532,-96.0492195,182.0659727
113556.688,86.0167641,-109.39676,195.41352410000002
116204.525,86.0167751,-114.286694,200.3034691
118914.103,86.0167864,-108.674617,194.6914034
121686.86,86.0167978,-99.7667784,185.78357620000003
124524.271,86.0168094,-98.6790396,184.695849
127427.842,86.0168211,-102.356486,188.3733071
130399.117,86.016833,-98.1128229,184.1296559
133439.674,86.0168452,-100.898803,186.91564820000002
136551.129,86.0168575,-103.326792,189.3436495
139735.135,86.01687,-103.929297,189.946167
142993.383,86.0168827,-101.856377,187.8732597
146327.604,86.0168957,-101.896577,187.9134727
149739.571,86.0169089,-106.971365,192.98827390000002
153231.096,86.0169224,-105.866021,191.8829434
156804.033,86.0169361,-99.5580316,185.5749677
160460.282,86.0169501,-104.591033,190.6079831
164201.785,86.0169644,-106.446332,192.4632964
168030.529,86.016979,-103.700411,189.71739000000002
171948.55,86.016994,-102.845834,188.86282799999998
175957.928,86.0170094,-100.079231,186.0962404
180060.795,86.0170251,-100.100827,186.1178521
184259.329,86.0170413,-109.818551,195.8355923
188555.761,86.0170579,-110.464781,196.4818389
192952.375,86.017075,-97.0089079,183.0259829
197451.506,86.0170926,-103.321048,189.3381406
202055.545,86.0171107,-108.589968,194.6070787
206766.938,86.0171295,-112.368798,198.38592749999998
211588.187,86.0171489,-97.459208,183.47635689999998
216521.856,86.0171689,-101.217801,187.2349699
221570.564,86.0171897,-117.364408,203.3815977
226736.994,86.0172112,-100.477903,186.4951142
232023.892,86.0172335,-106.306767,192.3240005
237434.066,86.0172566,-102.774428,188.7916846
242970.39,86.0172807,-102.605157,188.6224377
248635.807,86.0173057,-111.749383,197.76668869999997
254433.326,86.0173317,-117.07393,203.09126170000002
260366.028,86.0173588,-113.14017,199.1575288
266437.065,86.017387,-113.471269,199.488656
272649.661,86.0174164,-104.816971,190.8343874
279007.119,86.0174471,-110.264435,196.28188210000002
285512.816,86.0174791,-110.150258,196.1677371
292170.208,86.0175125,-109.798175,195.8156875
298982.832,86.0175474,-102.371653,188.3892004
305954.309,86.0175838,-112.353462,198.3710458
313088.341,86.0176219,-116.339549,202.3571709
320388.72,86.0176617,-108.30939,194.3270517
327859.325,86.0177033,-106.365761,192.3834643
335504.124,86.0177468,-110.555779,196.5735258
343327.179,86.0177923,-127.524229,213.5420213
351332.646,86.0178399,-113.453656,199.47149589999998
359524.78,86.0178897,-114.163118,200.1810077
367907.932,86.0179419,-112.096914,198.1148559
376486.557,86.0179964,-112.962019,198.9800154
385265.212,86.0180536,-119.604067,205.62212060000002
394248.562,86.0181133,-112.0377,198.0558133
403441.379,86.0181759,-107.586681,193.60485690000002
412848.549,86.0182414,-104.676947,190.6951884
422475.068,86.0183101,-109.578229,195.59653909999997
432326.052,86.0183819,-110.936015,196.9543969
442406.734,86.0184571,-113.918834,199.9372911
452722.471,86.0185359,-110.017428,196.0359639
463278.743,86.0186184,-115.635471,201.65408939999998
474081.159,86.0187048,-114.441212,200.45991679999997
485135.458,86.0187952,-115.541433,201.56022819999998
496447.514,86.0188899,-110.042364,196.0612539
508023.336,86.0189892,-116.700272,202.7192612
519869.076,86.019093,-108.574122,194.593215
