Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
4.63859456e-09,0.008103760909661896,4.39698593e-06,2.04613721e-06,-7.515564554018634e-05
4.66753513e-09,0.03704433090966227,1.99711699e-05,2.16734196e-06,-7.503444079018633e-05
4.6964757e-09,0.06598490090966182,3.50535973e-05,2.29462105e-06,-7.490716170018633e-05
4.72541627e-09,0.09492547090966219,4.92728886e-05,2.42816439e-06,-7.477361836018634e-05
4.75435684e-09,0.12386604090966173,6.22789178e-05,2.56814089e-06,-7.463364186018633e-05
4.78329741e-09,0.1528066109096621,7.37514331e-05,2.71469754e-06,-7.448708521018633e-05
4.81223798e-09,0.18174718090966166,8.34079431e-05,2.86795908e-06,-7.433382367018633e-05
4.84117855e-09,0.21068775090966202,9.10106724e-05,3.02802862e-06,-7.417375413018633e-05
4.87011912e-09,0.2396283209096624,9.63724167e-05,3.19498892e-06,-7.400679383018633e-05
4.89905969e-09,0.26856889090966196,9.93611518e-05,3.36890445e-06,-7.383287830018633e-05
4.92800026e-09,0.2975094609096623,9.99032853e-05,3.54982417e-06,-7.365195858018633e-05
4.95694083e-09,0.32645003090966185,9.7985468e-05,3.73778496e-06,-7.346399779018633e-05
4.9858814e-09,0.35539060090966224,9.3654923e-05,3.93281554e-06,-7.326896721018634e-05
5.01482197e-09,0.3843311709096618,8.70182826e-05,4.13494087e-06,-7.306684188018633e-05
5.04376254e-09,0.4132717409096622,7.8238963e-05,4.34418679e-06,-7.285759596018634e-05
5.07270311e-09,0.44221231090966173,6.75331403e-05,4.56058487e-06,-7.264119788018633e-05
5.10164368e-09,0.47115288090966206,5.51644272e-05,4.78417727e-06,-7.241760548018633e-05
5.13058425e-09,0.5000934509096625,4.14373827e-05,5.01502134e-06,-7.218676141018633e-05
5.15952482e-09,0.529034020909662,2.66900121e-05,5.25319408e-06,-7.194858867018634e-05
5.18846539e-09,0.5579745909096624,1.12854448e-05,5.49879608e-06,-7.170298667018633e-05
