Vin_V,Vout_V,Local_Gain
-0.002,-19.0879451,0.0
-0.001995,-19.0879451,0.0
-0.00199,-19.0879451,0.0
-0.001985,-19.0879451,0.0
-0.00198,-19.0879451,0.0
-0.001975,-19.0879451,0.0
-0.00197,-19.0879451,0.0
-0.001965,-19.0879451,0.0
-0.00196,-19.0879451,0.0
-0.001955,-19.0879451,0.0
-0.00195,-19.0879451,0.0
-0.001945,-19.0879451,0.0
-0.00194,-19.0879451,0.0
-0.001935,-19.0879451,0.0
-0.00193,-19.0879451,0.0
-0.001925,-19.0879451,0.0
-0.00192,-19.0879451,0.0
-0.001915,-19.0879451,0.0
-0.00191,-19.0879451,0.0
-0.001905,-19.0879451,0.0
-0.0019,-19.0879451,0.0
-0.001895,-19.0879451,0.0
-0.00189,-19.0879451,0.0
-0.001885,-19.0879451,-0.010000000009313226
-0.00188,-19.0879452,-0.010000000009313226
-0.001875,-19.0879452,0.0
-0.00187,-19.0879452,0.0
-0.001865,-19.0879452,0.0
-0.00186,-19.0879452,0.0
-0.001855,-19.0879452,0.0
-0.00185,-19.0879452,0.0
-0.001845,-19.0879452,0.0
-0.00184,-19.0879452,0.0
-0.001835,-19.0879452,0.0
-0.00183,-19.0879452,0.0
-0.001825,-19.0879452,0.0
-0.00182,-19.0879452,0.0
-0.001815,-19.0879452,0.0
-0.00181,-19.0879452,0.0
-0.001805,-19.0879452,0.0
-0.0018,-19.0879452,0.0
-0.001795,-19.0879452,0.0
-0.00179,-19.0879452,0.0
-0.001785,-19.0879452,0.0
-0.00178,-19.0879452,0.0
-0.001775,-19.0879452,0.0
-0.00177,-19.0879452,0.0
-0.001765,-19.0879452,0.0
-0.00176,-19.0879452,0.0
-0.001755,-19.0879452,0.0
-0.00175,-19.0879452,0.0
-0.001745,-19.0879452,0.0
-0.00174,-19.0879452,0.0
-0.001735,-19.0879452,0.0
-0.00173,-19.0879452,0.0
-0.001725,-19.0879452,0.0
-0.00172,-19.0879452,0.0
-0.001715,-19.0879452,0.0
-0.00171,-19.0879452,0.0
-0.001705,-19.0879452,0.0
-0.0017,-19.0879452,0.0
-0.001695,-19.0879452,0.0
-0.00169,-19.0879452,0.0
-0.001685,-19.0879452,0.0
-0.00168,-19.0879452,0.0
-0.001675,-19.0879452,0.0
-0.00167,-19.0879452,0.0
-0.001665,-19.0879452,0.0
-0.00166,-19.0879452,0.0
-0.001655,-19.0879452,0.0
-0.00165,-19.0879452,0.0
-0.001645,-19.0879452,0.0
-0.00164,-19.0879452,0.0
-0.001635,-19.0879452,0.0
-0.00163,-19.0879452,0.0
-0.001625,-19.0879452,0.0
-0.00162,-19.0879452,0.0
-0.001615,-19.0879452,0.0
-0.00161,-19.0879452,-0.010000000009313226
-0.001605,-19.0879453,-0.01000000024214387
-0.0016,-19.0879453,0.0
-0.001595,-19.0879453,0.0
-0.00159,-19.0879453,0.0
-0.001585,-19.0879453,0.0
-0.00158,-19.0879453,0.0
-0.001575,-19.0879453,0.0
-0.00157,-19.0879453,0.0
-0.001565,-19.0879453,0.0
-0.00156,-19.0879453,0.0
-0.001555,-19.0879453,0.0
-0.00155,-19.0879453,0.0
-0.001545,-19.0879453,0.0
-0.00154,-19.0879453,0.0
-0.001535,-19.0879453,0.0
-0.00153,-19.0879453,0.0
-0.001525,-19.0879453,0.0
-0.00152,-19.0879453,0.0
-0.001515,-19.0879453,0.0
-0.00151,-19.0879453,0.0
-0.001505,-19.0879453,0.0
-0.0015,-19.0879453,0.0
-0.001495,-19.0879453,0.0
-0.00149,-19.0879453,0.0
-0.001485,-19.0879453,0.0
-0.00148,-19.0879453,0.0
-0.001475,-19.0879453,0.0
-0.00147,-19.0879453,0.0
-0.001465,-19.0879453,0.0
-0.00146,-19.0879453,0.0
-0.001455,-19.0879453,0.0
-0.00145,-19.0879453,0.0
-0.001445,-19.0879453,0.0
-0.00144,-19.0879453,0.0
-0.001435,-19.0879453,0.0
-0.00143,-19.0879453,0.0
-0.001425,-19.0879453,0.0
-0.00142,-19.0879453,0.0
-0.001415,-19.0879453,0.0
-0.00141,-19.0879453,0.0
-0.001405,-19.0879453,0.0
-0.0014,-19.0879453,0.0
-0.001395,-19.0879453,0.0
-0.00139,-19.0879453,0.0
-0.001385,-19.0879453,0.0
-0.00138,-19.0879453,0.0
-0.001375,-19.0879453,0.0
-0.00137,-19.0879453,0.0
-0.001365,-19.0879453,0.0
-0.00136,-19.0879453,0.0
-0.001355,-19.0879453,0.0
-0.00135,-19.0879453,0.0
-0.001345,-19.0879453,0.0
-0.00134,-19.0879453,0.0
-0.001335,-19.0879453,-0.009999999776482582
-0.00133,-19.0879454,-0.009999999776482582
-0.001325,-19.0879454,0.0
-0.00132,-19.0879454,0.0
-0.001315,-19.0879454,0.0
-0.00131,-19.0879454,0.0
-0.001305,-19.0879454,0.0
-0.0013,-19.0879454,0.0
-0.001295,-19.0879454,0.0
-0.00129,-19.0879454,0.0
-0.001285,-19.0879454,0.0
-0.00128,-19.0879454,0.0
-0.001275,-19.0879454,0.0
-0.00127,-19.0879454,0.0
-0.001265,-19.0879454,0.0
-0.00126,-19.0879454,0.0
-0.001255,-19.0879454,0.0
-0.00125,-19.0879454,0.0
-0.001245,-19.0879454,0.0
-0.00124,-19.0879454,0.0
-0.001235,-19.0879454,0.0
-0.00123,-19.0879454,0.0
-0.001225,-19.0879454,0.0
-0.00122,-19.0879454,0.0
-0.001215,-19.0879454,0.0
-0.00121,-19.0879454,0.0
-0.001205,-19.0879454,0.0
-0.0012,-19.0879454,0.0
-0.001195,-19.0879454,0.0
-0.00119,-19.0879454,0.0
-0.001185,-19.0879454,0.0
-0.00118,-19.0879454,0.0
-0.001175,-19.0879454,0.0
-0.00117,-19.0879454,0.0
-0.001165,-19.0879454,0.0
-0.00116,-19.0879454,0.0
-0.001155,-19.0879454,0.0
-0.00115,-19.0879454,0.0
-0.001145,-19.0879454,0.0
-0.00114,-19.0879454,0.0
-0.001135,-19.0879454,0.0
-0.00113,-19.0879454,0.0
-0.001125,-19.0879454,0.0
-0.00112,-19.0879454,0.0
-0.001115,-19.0879454,0.0
-0.00111,-19.0879454,0.0
-0.001105,-19.0879454,0.0
-0.0011,-19.0879454,0.0
-0.001095,-19.0879454,0.0
-0.00109,-19.0879454,0.0
-0.001085,-19.0879454,0.0
-0.00108,-19.0879454,0.0
-0.001075,-19.0879454,0.0
-0.00107,-19.0879454,0.0
-0.001065,-19.0879454,0.0
-0.00106,-19.0879454,-0.010000000009313226
-0.001055,-19.0879455,-0.010000000009313226
-0.00105,-19.0879455,0.0
-0.001045,-19.0879455,0.0
-0.00104,-19.0879455,0.0
-0.001035,-19.0879455,0.0
-0.00103,-19.0879455,0.0
-0.001025,-19.0879455,0.0
-0.00102,-19.0879455,0.0
-0.001015,-19.0879455,0.0
-0.00101,-19.0879455,0.0
-0.001005,-19.0879455,0.0
-0.001,-19.0879455,0.0
-0.000995,-19.0879455,0.0
-0.00099,-19.0879455,0.0
-0.000985,-19.0879455,0.0
-0.00098,-19.0879455,0.0
-0.000975,-19.0879455,4.656612873077393e-10
-0.00097,-19.0879455,-0.06000000052154064
-0.000965,-19.0879461,-4.909999999916181
-0.00096,-19.0879946,-31.729999999981374
-0.000955,-19.0882634,9726.379999999655
-0.00095,-18.9907308,19748.38000000012
-0.000945,-18.8907796,19990.240000000224
-0.00094,-18.7908284,19990.239999999758
-0.000935,-18.6908772,19990.240000000224
-0.00093,-18.590926,19990.25
-0.000925,-18.4909747,19990.25
-0.00092,-18.3910235,19990.23999999999
-0.000915,-18.2910723,19990.23999999999
-0.00091,-18.1911211,19990.239999999758
-0.000905,-18.0911699,19990.239999999758
-0.0009,-17.9912187,19990.23999999999
-0.000895,-17.8912675,19990.25
-0.00089,-17.7913162,19990.250000000466
-0.000885,-17.691365,19990.239999999758
-0.00088,-17.5914138,19990.240000000224
-0.000875,-17.4914626,19990.240000000224
-0.00087,-17.3915114,19990.23999999999
-0.000865,-17.2915602,19990.239999999758
-0.00086,-17.191609,19990.25
-0.000855,-17.0916577,19990.25
-0.00085,-16.9917065,19990.240000000224
