Frequency_Hz,Gain_dB,Phase_deg
20.9586127,86.0163615,1.76607204e-06
21.4473113,86.0163615,1.80725224e-06
21.9474049,86.0163615,1.84939267e-06
22.4591595,86.0163615,1.8925155e-06
22.9828467,86.0163615,1.93664379e-06
23.518745,86.0163615,1.98180137e-06
24.067139,86.0163615,2.02801133e-06
24.62832,86.0163615,2.07529913e-06
25.2025863,86.0163615,2.12368964e-06
25.7902429,86.0163615,2.17320828e-06
26.3916021,86.0163615,2.22388156e-06
27.0069833,86.0163615,2.27573652e-06
27.6367137,86.0163615,2.32880039e-06
28.2811276,86.0163615,2.38310197e-06
28.9405675,86.0163615,2.4386696e-06
29.6153838,86.0163615,2.49553251e-06
30.305935,86.0163615,2.55372192e-06
31.012588,86.0163615,2.61326765e-06
31.7357183,86.0163615,2.67420211e-06
32.47571,86.0163615,2.7365573e-06
33.2329563,86.0163615,2.80036645e-06
34.0078596,86.0163615,2.86566347e-06
34.8008315,86.0163615,2.93248343e-06
35.6122934,86.0163615,3.0008612e-06
36.4426765,86.0163615,3.07083288e-06
37.2924218,86.0163615,3.14243642e-06
38.1619809,86.0163615,3.21570916e-06
39.0518158,86.0163615,3.2906914e-06
39.9623992,86.0163615,3.36742057e-06
40.8942151,86.0163615,3.44594055e-06
41.8477583,86.0163615,3.52629037e-06
42.8235356,86.0163615,3.6085137e-06
43.8220655,86.0163615,3.69265492e-06
44.8438783,86.0163615,3.77875812e-06
45.8895171,86.0163615,3.86686855e-06
46.9595374,86.0163615,3.9570328e-06
48.0545077,86.0163615,4.04930077e-06
49.1750097,86.0163615,4.14371883e-06
50.3216388,86.0163615,4.24033939e-06
51.4950043,86.0163615,4.33921278e-06
52.6957295,86.0163615,4.44039167e-06
53.9244523,86.0163615,4.54392973e-06
55.1818257,86.0163615,4.64988224e-06
56.4685177,86.0163615,4.75830445e-06
57.7852118,86.0163615,4.86925569e-06
59.1326078,86.0163615,4.98279376e-06
60.5114213,86.0163615,5.09897899e-06
61.9223852,86.0163615,5.21787299e-06
63.3662489,86.0163615,5.33953981e-06
64.8437796,86.0163615,5.46404388e-06
66.3557623,86.0163615,5.5914503e-06
67.9030005,86.0163615,5.72182836e-06
69.4863161,86.0163615,5.85524524e-06
71.1065503,86.0163615,5.99177423e-06
72.7645641,86.0163615,6.13148662e-06
74.4612383,86.0163615,6.27445625e-06
76.1974743,86.0163615,6.420758e-06
77.9741948,86.0163615,6.5704743e-06
79.7923435,86.0163615,6.72367955e-06
