Time_s,Time_ns,Vin_V,Vout_V,Vout_AC_V
9.26145384e-07,0.04722418193250502,1.28405179e-07,2.37197395,2.133891741506094
9.26534384e-07,0.4362241819325491,1.18405976e-06,2.3782154,2.140133191506094
9.27312386e-07,1.2142261819325386,3.29485542e-06,2.38971509,2.151632881506094
9.28452976e-07,2.3548161819324775,6.3864731e-06,2.40652361,2.1684414015060938
9.3001549e-07,3.9173301819324604,1.06112074e-05,2.42945743,2.1913752215060938
9.33140518e-07,7.042358181932532,1.89958836e-05,2.47422507,2.236142861506094
9.38347707e-07,12.249547181932531,3.26345258e-05,2.54591582,2.307833611506094
9.43549504e-07,17.451344181932452,4.5609525e-05,2.61400036,2.375918151506094
9.49337617e-07,23.239457181932544,5.89695837e-05,2.68574157,2.4476593615060938
9.52931058e-07,26.832898181932524,6.65528818e-05,2.72817948,2.490097271506094
9.5580926e-07,29.711100181932444,7.21739154e-05,2.76105351,2.522971301506094
9.58123934e-07,32.02577418193248,7.6376637e-05,2.78679942,2.548717211506094
9.60067867e-07,33.969707181932435,7.9674103e-05,2.80795117,2.569868961506094
9.60896497e-07,34.79833718193259,8.10128176e-05,2.81682558,2.578743371506094
9.61389634e-07,35.2914741819324,8.17901156e-05,2.82208673,2.584004521506094
9.61633986e-07,35.53582618193258,8.21698529e-05,2.82468898,2.586606771506094
9.61876741e-07,35.77858118193257,8.25435293e-05,2.82726292,2.589180711506094
9.61998846e-07,35.90068618193241,8.27301352e-05,2.82855018,2.590467971506094
9.62099548e-07,36.00138818193242,8.2883348e-05,2.82960641,2.5915242015060937
9.62206892e-07,36.108732181932595,8.30459846e-05,2.83072672,2.592644511506094
9.62313286e-07,36.215126181932504,8.32064863e-05,2.83183343,2.593751221506094
9.62466741e-07,36.368581181932555,8.34367602e-05,2.83343238,2.595350171506094
9.62554739e-07,36.45657918193243,8.3568157e-05,2.8343543,2.596272091506094
9.62629562e-07,36.531402181932485,8.36795066e-05,2.83514285,2.597060641506094
9.62698627e-07,36.6004671819324,8.37819803e-05,2.83587492,2.597792711506094
9.62766775e-07,36.66861518193249,8.3882806e-05,2.83660056,2.598518351506094
9.62834718e-07,36.73655818193257,8.39830418e-05,2.83732558,2.599243371506094
9.62902825e-07,36.8046651819324,8.40832342e-05,2.83805155,2.599969341506094
9.62977474e-07,36.87931418193246,8.41927195e-05,2.83884306,2.600760851506094
9.63059919e-07,36.961759181932415,8.4313238e-05,2.83970868,2.601626471506094
9.63152964e-07,37.0548041819325,8.44487444e-05,2.84067277,2.602590561506094
9.63259136e-07,37.16097618193245,8.46027104e-05,2.84175902,2.603676811506094
9.63387624e-07,37.28946418193246,8.47880994e-05,2.84306664,2.604984431506094
9.63523539e-07,37.42537918193241,8.49830818e-05,2.84445932,2.606377111506094
9.63626139e-07,37.52797918193253,8.51295041e-05,2.84552404,2.607441831506094
9.63720618e-07,37.62245818193252,8.52637541e-05,2.84651564,2.6084334315060937
9.63823899e-07,37.72573918193247,8.54098699e-05,2.8476069,2.609524691506094
9.6393338e-07,37.835220181932456,8.55640247e-05,2.84876217,2.610679961506094
9.64043361e-07,37.94520118193257,8.57181223e-05,2.84991156,2.6118293515060937
9.64162079e-07,38.0639191819325,8.5883605e-05,2.85113439,2.613052181506094
9.64299851e-07,38.20169118193252,8.60745307e-05,2.85253515,2.614452941506094
9.64446426e-07,38.3482661819326,8.62763334e-05,2.85401965,2.615937441506094
9.64643314e-07,38.545154181932546,8.65452562e-05,2.85603002,2.617947811506094
9.64794237e-07,38.696077181932516,8.67497255e-05,2.8575868,2.619504591506094
9.64979705e-07,38.881545181932545,8.69990026e-05,2.85950519,2.621422981506094
9.65147066e-07,39.04890618193243,8.72220514e-05,2.86122637,2.6231441615060938
9.65314606e-07,39.21644618193243,8.74435373e-05,2.8629331,2.6248508915060937
9.65517159e-07,39.4189991819325,8.77088951e-05,2.86498206,2.626899851506094
9.65733543e-07,39.63538318193245,8.79894439e-05,2.86716963,2.6290874215060938
9.65962537e-07,39.8643771819326,8.82830373e-05,2.86949117,2.631408961506094
9.66230427e-07,40.1322671819324,8.86221703e-05,2.87220665,2.634124441506094
9.66514795e-07,40.41663518193247,8.89770394e-05,2.87507539,2.636993181506094
9.66840802e-07,40.742642181932496,8.93773499e-05,2.87834566,2.640263451506094
9.6724556e-07,41.14740018193242,8.98646211e-05,2.88239088,2.644308671506094
9.67825063e-07,41.72690318193254,9.05433699e-05,2.88815178,2.650069571506094
9.68197834e-07,42.099674181932585,9.09681576e-05,2.89152547,2.653443261506094
9.68523662e-07,42.425502181932494,9.13318277e-05,2.89299991,2.654917701506094
9.68797443e-07,42.69928318193259,9.16318869e-05,2.892445,2.654362791506094
9.68978476e-07,42.88031618193252,9.18275184e-05,2.89136212,2.653279911506094
9.69163715e-07,43.06555518193246,9.20254e-05,2.89035612,2.652273911506094
9.69369924e-07,43.27176418193244,9.2242948e-05,2.89012287,2.652040661506094
9.69527912e-07,43.42975218193253,9.24076694e-05,2.89053683,2.652454621506094
9.69698502e-07,43.60034218193258,9.25836219e-05,2.89091615,2.6528339415060938
9.69878013e-07,43.779853181932495,9.27666335e-05,2.89039916,2.652316951506094
